FirstName,LastName,POS,TEAM,OPP,OPP_RANK,OvrRank,PosRank,Yds,TDs,INTs,Att,Yds,TDs,Rec,Yds,TDs,FP,FP,Cost,Value
Blaine,Gabbert,QB,SF,SEA,#3,41,28,194.56,1.18,0.65,2.4,10.47,0.04,0,0,0,12.14,12.9,"$6,000",2.15
Amari,Cooper,WR,OAK,DET,#27,42,3,0,0,0,0.13,0.59,0,5.11,81.08,0.58,11.64,14.24,"$7,200",1.98
Lesean,McCoy,RB,BUF,NE,#14,43,12,0,0,0,14.7,66.2,0.5,2.86,19.28,0.02,11.54,12.98,"$7,500",1.73
Chris,Johnson,RB,ARI,CIN,#11,44,13,0,0,0,15.25,63.18,0.47,2.72,19.59,0.13,11.52,12.96,"$6,800",1.91
Calvin,Johnson,WR,DET,OAK,#31,45,4,0,0,0,0,0,0,6.03,87.24,0.42,11.1,14.12,"$8,100",1.74
DeAndre,Hopkins,WR,HOU,NYJ,#4,46,5,1.07,0.02,0,0,0,0,7.54,89.97,0.36,11.04,14.79,"$8,900",1.66
Rob,Gronkowski,TE,NE,BUF,#10,47,1,0,0,0,0,0,0,6.01,72.92,0.63,11.01,14.04,"$8,400",1.67
Jonathan,Stewart,RB,CAR,WSH,#15,48,14,0,0,0,15.35,65.29,0.63,1.45,8.87,0,10.96,11.68,"$7,000",1.67
Mike,Evans,WR,TB,PHI,#5,49,6,0,0,0,0,0,0,5.41,81.24,0.45,10.83,13.53,"$8,000",1.69
Larry,Fitzgerald,WR,ARI,CIN,#11,50,7,0,0,0,0,0,0,5.17,73.25,0.55,10.55,13.17,"$7,400",1.78
A.J.,Green,WR,CIN,ARI,#6,51,8,0,0,0,0,0,0,5.67,75.43,0.51,10.53,13.4,"$8,200",1.63
T.Y.,Hilton,WR,IND,ATL,#19,52,9,0,0,0,0,0,0,4.77,69.1,0.58,10.31,12.78,"$7,200",1.78
Brandon,Marshall,WR,NYJ,HOU,#13,53,10,0,0,0,0,0,0,6.11,79.07,0.41,10.28,13.34,"$7,900",1.69
Randall,Cobb,WR,GB,MIN,#16,54,11,0,0,0,0.13,0.21,0,6.17,76.3,0.44,10.25,13.38,"$7,100",1.88
Doug,Martin,RB,TB,PHI,#5,55,15,0,0,0,14.76,57.47,0.29,2.39,22.64,0.09,10.19,11.39,"$6,600",1.73
T.J.,Yeldon,RB,JAC,TEN,#12,56,16,0,0,0,14.82,55.33,0.28,3.06,26.9,0.09,10.16,11.69,"$6,400",1.83
Frank,Gore,RB,IND,ATL,#19,57,17,0.45,0.02,0,14.35,51.03,0.22,4.47,33.74,0.07,10.12,12.35,"$6,600",1.87
Demaryius,Thomas,WR,DEN,CHI,#25,58,12,0.91,0.02,0,0,0,0,5.84,73.94,0.43,10.09,13.09,"$7,700",1.7
Jeremy,Maclin,WR,KC,SD,#28,59,13,0,0,0,0.04,0.61,0,5.89,74.76,0.41,9.98,13.02,"$6,300",2.07
Jeremy,Langford,RB,CHI,DEN,#1,60,18,0,0,0,10.49,49.82,0.37,1.91,20.17,0.11,9.88,10.81,"$6,700",1.61
Allen,Robinson,WR,JAC,TEN,#12,61,14,0,0,0,0,0,0,4.73,72.86,0.4,9.74,12.09,"$7,700",1.57
Sammy,Watkins,WR,BUF,NE,#14,62,15,0,0,0,0,0,0,4.57,61.75,0.57,9.61,11.96,"$6,600",1.81
Alshon,Jeffery,WR,CHI,DEN,#1,63,16,0,0,0,0,0,0,5.54,71.9,0.39,9.46,12.26,"$7,500",1.63
Antonio,Andrews,RB,TEN,JAC,#23,64,19,0,0,0,14.81,53.62,0.34,2.02,19.99,0.04,9.4,10.37,"$5,600",1.85
Steve,Johnson,WR,SD,KC,#9,65,17,0,0,0,0,0,0,5.83,71.24,0.39,9.39,12.38,"$5,600",2.21
Jarvis,Landry,WR,MIA,DAL,#22,66,18,0,0,0,0.35,2.3,0,6.2,71.65,0.35,9.37,12.46,"$7,200",1.73
Brandon,LaFell,WR,NE,BUF,#10,66,18,0,0,0,0,0,0,4.47,65.22,0.5,9.37,11.66,"$6,900",1.69
Greg,Olsen,TE,CAR,WSH,#15,67,2,0,0,0,0,0,0,5.26,58.8,0.53,9.14,11.77,"$6,400",1.84
Emmanuel,Sanders,WR,DEN,CHI,#25,68,19,0,0,0,0.13,0.29,0,4.24,64.86,0.44,9.13,11.28,"$7,600",1.48
James,Starks,RB,GB,MIN,#16,69,20,0,0,0,12.44,48.73,0.33,2.76,20.73,0.04,9.12,10.51,"$6,200",1.7
Eric,Decker,WR,NYJ,HOU,#13,70,20,0,0,0,0,0,0,4.49,61.8,0.46,8.95,11.23,"$7,000",1.6
Michael,Crabtree,WR,OAK,DET,#27,71,21,0,0,0,0,0,0,4.32,59.34,0.5,8.92,11.35,"$6,500",1.75
Danny,Amendola,WR,NE,BUF,#10,72,22,0,0,0,0.32,1.77,0,5.03,69.15,0.32,8.84,11.33,"$6,100",1.86
Stefon,Diggs,WR,MIN,GB,#21,73,23,0.51,0.02,0,0.29,2.28,0,4.07,58.88,0.45,8.76,10.79,"$6,700",1.61
Kamar,Aiken,WR,BAL,STL,#2,74,24,0,0,0,0,0,0,5.16,73.93,0.24,8.69,11.29,"$5,900",1.91
Justin,Forsett,RB,BAL,STL,#2,75,21,0,0,0,13.62,50.31,0.28,3,20.02,0.07,8.65,10.15,"$6,900",1.47
Jordan,Matthews,WR,PHI,TB,#18,76,25,1.08,0.05,0,0,0,0,5.26,62.35,0.35,8.6,11.21,"$6,300",1.78
John,Brown,WR,ARI,CIN,#11,77,26,0,0,0,0.1,-0.1,0,4.28,61.07,0.37,8.3,10.42,"$5,700",1.83
Danny,Woodhead,RB,SD,KC,#9,78,22,0,0,0,7.57,30.68,0.11,4.97,38.6,0.15,8.23,10.69,"$6,400",1.67
DeSean,Jackson,WR,WSH,CAR,#7,79,27,1.05,0.02,0,0,0,0,3.99,63.47,0.28,8.15,10.14,"$6,100",1.66
Allen,Hurns,WR,JAC,TEN,#12,80,28,0,0,0,0,0,0,3.96,58.07,0.38,8.04,10.03,"$7,500",1.34
